0.3021,0.3057,0.2788
0.3044,0.3196,0.2810
0.3022,0.3109,0.3092
0.3110,0.3175,0.2847
0.3091,0.3100,0.2920
0.3012,0.3119,0.2930
0.3155,0.3220,0.2900
0.3021,0.3056,0.2832
0.3001,0.3070,0.2765
0.3034,0.3075,0.2762
0.3011,0.3045,0.2737
0.3017,0.3040,0.2742
0.3019,0.3118,0.2782
0.3043,0.3082,0.2813
0.3010,0.3068,0.2752
0.3042,0.3086,0.2835
0.3118,0.3150,0.2801
0.3037,0.3046,0.2784
0.3016,0.3029,0.2740
0.3009,0.3078,0.2801
0.2977,0.3096,0.2729
0.3022,0.3034,0.2756
0.3098,0.3149,0.2946
0.3021,0.3110,0.2881
0.3010,0.3115,0.2774
0.3015,0.3098,0.2943
0.3026,0.3120,0.2780
0.3047,0.3126,0.2784
0.3056,0.3064,0.2765
0.3187,0.3345,0.2884
