0.0236,0.0245,0.0215
0.0230,0.0248,0.0205
0.0235,0.0237,0.0225
0.0242,0.0252,0.0222
0.0225,0.0247,0.0215
0.0291,0.0241,0.0210
0.0225,0.0250,0.0214
0.0235,0.0247,0.0221
0.0233,0.0245,0.0220
0.0235,0.0245,0.0206
0.0230,0.0236,0.0225
0.0246,0.0260,0.0261
0.0235,0.0240,0.0225
0.0225,0.0250,0.0216
0.0232,0.0243,0.0200
0.0246,0.0251,0.0205
0.0240,0.0255,0.0220
0.0228,0.0255,0.0257
0.0227,0.0237,0.0211
0.0225,0.0250,0.0211
0.0226,0.0240,0.0210
0.0235,0.0245,0.0212
0.0225,0.0255,0.0216
0.0233,0.0247,0.0210
0.0292,0.0243,0.0214
0.0225,0.0250,0.0201
0.0227,0.0241,0.0210
0.0230,0.0276,0.0225
0.0240,0.0249,0.0220
0.0235,0.0250,0.0220
