1.7996,1.7626,1.6055
1.8495,1.7609,1.5966
1.8196,1.7859,1.6047
1.9219,1.7718,1.6095
1.8031,1.7450,1.5951
1.7850,1.7428,1.5846
1.8851,1.8313,1.6332
1.9033,1.8048,1.5890
1.8278,1.7544,1.5933
1.7855,1.7488,1.5930
1.8019,1.7580,1.5942
1.8191,1.7811,1.6453
1.8228,1.7659,1.6112
1.8938,1.7426,1.5999
1.8380,1.7701,1.6165
1.7937,1.7492,1.5950
1.8177,1.7528,1.6041
1.8100,1.7635,1.6224
1.7835,1.7406,1.6292
1.7817,1.7401,1.5920
1.8269,1.7909,1.6370
1.8051,1.9698,1.9566
1.8445,1.7742,1.6067
1.8321,1.7562,1.6037
1.8339,1.7810,1.6309
1.8574,1.7707,1.6318
1.8236,1.7621,1.6180
1.8545,1.7499,1.6048
1.9046,1.7808,1.6330
1.8301,1.7460,1.6145
